0	2766.361951	9073.667198
0.05	2817.865614	9242.599213
0.1	2868.874919	9409.909734
0.15	2919.346792	9575.457479
0.2	2969.343783	9739.447609
0.25	3018.898847	9901.988219
0.3	3067.977676	10062.96678
0.35	3116.642675	10222.58797
0.4	3164.893931	10380.85209
0.45	3212.697057	10537.64635
0.5	3260.117706	10693.18608
0.55	3307.154284	10847.46605
0.6	3353.874054	11000.7069
0.65	3400.075335	11152.2471
0.7	3445.95823	11302.74299
0.75	3491.521116	11452.18926
0.8	3536.762377	11600.5806
0.85	3581.683662	11747.92241
0.9	3625.955351	11893.13355
0.95	3670.233449	12038.36571
1	3714.188335	12182.53774
1.05	3757.823299	12325.66042
1.1	3800.805423	12466.64179
1.15	3843.794005	12607.64434
1.2	3886.459405	12747.58685
1.25	3928.801634	12886.46936
1.3	3970.822333	13024.29725
1.35	4012.51659	13161.05442
1.4	4054.21733	13297.83284
1.45	4095.265279	13432.47012
1.5	4136.318079	13567.1233
1.55	4176.718093	13699.63535
1.6	4217.122962	13832.16331
1.65	4257.201417	13963.62065
1.7	4297.284735	14095.09393
1.75	4336.715284	14224.42613
1.8	4376.150699	14353.77429
1.85	4415.259705	14482.05183
1.9	4454.04395	14609.26416
1.95	4492.503426	14735.41124
2	4530.966145	14861.56896
2.05	4569.102464	14986.65608
2.1	4606.915665	15110.68338
2.15	4644.402469	15233.6401
2.2	4681.890876	15356.60207
2.25	4719.056175	15478.50425
2.3	4756.221437	15600.40631
2.35	4792.73559	15720.17274
2.4	4829.249714	15839.93906
2.45	4865.76873	15959.72143
2.5	4901.631717	16077.35203
2.55	4937.49796	16194.99331
2.6	4973.367453	16312.64525
2.65	5008.580926	16428.14544
2.7	5043.797655	16543.65631
2.75	5079.015999	16659.17248
2.8	5113.909603	16773.6235
2.85	5148.475181	16886.99859
2.9	5182.716024	16999.30856
2.95	5216.958486	17111.62383
3	5251.202567	17223.94442
3.05	5284.792268	17334.11864
3.1	5318.711589	17445.37401
3.15	5351.976533	17554.48303
3.2	5385.243105	17663.59738
3.25	5418.511296	17772.71705
3.3	5451.125111	17879.69036
3.35	5484.068554	17987.74486
3.4	5516.35762	18093.65299
3.45	5548.97631	18200.6423
3.5	5580.940627	18305.48526
3.55	5612.906572	18410.33356
3.6	5644.872501	18515.1818
3.65	5676.513698	18618.96493
3.7	5707.826886	18721.67219
3.75	5739.141698	18824.38477
3.8	5770.130137	18926.02685
3.85	5801.120209	19027.67428
3.9	5832.110264	19129.32167
3.95	5862.445951	19228.82272
4	5893.111269	19329.40496
4.05	5923.450216	19428.91671
4.1	5953.46279	19527.35795
4.15	5983.475355	19625.79917
4.2	6013.159913	19723.16451
4.25	6042.847738	19820.54058
4.3	6072.207555	19916.84078
4.35	6101.569004	20013.14633
4.4	6130.602445	20108.37602
4.45	6159.639157	20203.61644
4.5	6188.674222	20298.85145
4.55	6217.056554	20391.9455
4.6	6245.766882	20486.11537
4.65	6274.149201	20579.20938
4.7	6302.206793	20671.23828
4.75	6330.262736	20763.26177
4.8	6358.321955	20855.29601
4.85	6386.051526	20946.24901
4.9	6413.784369	21037.21273
4.95	6441.189204	21127.10059
5	6468.594034	21216.98843
5.05	6495.672497	21305.80579
5.1	6522.752591	21394.6285
5.15	6549.504685	21482.37537
5.2	6576.179447	21569.86858
5.25	6602.658838	21656.72099
5.3	6628.944251	21742.93714
5.35	6655.037072	21828.5216
5.3997	6680.783816	21912.97092
5.4497	6706.496657	21997.30903
5.4997	6732.020932	22081.02866
5.5497	6757.357951	22164.13408
5.5997	6782.509008	22246.62955
5.6497	6807.475366	22328.5192
5.6997	6832.258292	22409.8072
5.7497	6856.859019	22490.49758
5.7997	6881.278774	22570.59438
5.8497	6905.518765	22650.10155
5.8997	6929.580182	22729.023
5.9497	6953.464199	22807.36257
5.9997	6977.171979	22885.12409
6.0497	7000.704664	22962.3113
6.0997	7024.063391	23038.92792
6.1497	7047.24927	23114.9776
6.1997	7070.263413	23190.46399
6.2497	7093.106906	23265.39065
6.2997	7115.780826	23339.76111
6.3497	7138.28624	23413.57887
6.3997	7160.624193	23486.84735
6.4497	7182.79573	23559.56999
6.4997	7204.801868	23631.75013
6.5497	7226.643626	23703.39109
6.5997	7248.322004	23774.49617
6.6497	7269.837991	23845.06861
6.6997	7291.192569	23915.11162
6.7497	7312.3867	23984.62838
6.7997	7333.421344	24053.62201
6.8497	7354.297439	24122.0956
6.8997	7375.015921	24190.05222
6.9497	7395.577712	24257.49489
6.9997	7415.983721	24324.42661
7.0497	7436.234849	24390.8503
7.0997	7456.331986	24456.76891
7.1497	7476.276012	24522.18532
7.1997	7496.067803	24587.10239
7.2497	7515.708215	24651.52295
7.2997	7535.198102	24715.44977
7.3497	7554.538302	24778.88563
7.3997	7573.729647	24841.83324
7.4497	7592.772957	24904.2953
7.4997	7611.66905	24966.27449
7.5497	7630.418726	25027.77342
7.5997	7649.022783	25088.79473
7.6497	7667.482011	25149.341
7.6997	7685.797182	25209.41476
7.7497	7703.969069	25269.01855
7.7997	7721.998431	25328.15485
7.8497	7739.886024	25386.82616
7.8997	7757.632586	25445.03488
7.9497	7775.238858	25502.78345
7.9997	7792.705566	25560.07426
8.0497	7810.033433	25616.90966
8.0997	7827.223168	25673.29199
8.1497	7844.275478	25729.22357
8.1997	7861.191057	25784.70667
8.2497	7877.970599	25839.74356
8.2997	7894.61478	25894.33648
8.3497	7911.124279	25948.48764
8.3997	7927.499763	26002.19922
8.4497	7943.741892	26055.47341
8.4997	7959.851319	26108.31233
